Rank,Artist,Song,Gender,Year
12,Gary Numan,Cars,Male,1980
13,Smokey Robinson,Cruisin’,Male,1980
14,Spinners,Working My Way Back To You-Forgive Me Girl,Male Group,1980
15,Air Supply,Lost In Love,Male Group,1980
16,Elton John,Little Jeannie,Male,1980
17,Cristopher Cross,Ride Like The Wind,Male,1980
18,Diana Ross,Upside Down,Female,1980
19,K.C. and The Sunshine Band,Please Don’t Go,Mixed Group,1980
20,Styx,Babe,Male Group,1980
21,Billy Preston and Syreeta,With You I’m Born Again,Mixed Group,1980
22,Manhattans,Shining Star,Male Group,1980
23,Commodores,Still,Male Group,1980
24,Teri De Sario With K.C.,"Yes, I’m Ready",Female,1980
25,Dr. Hook,Sexy Eyes,Male,1980
26,Robbie Dupree,Steal Away,Male,1980
27,Ambrosia,Biggest Part Of Me,Male Group,1980
28,Kenny Loggins,This Is It,Male Group,1980
29,Spinners,Cupid/I’ve Loved You For A Long Time,Male Group,1980
30,Jermaine Jackson,Let’s Get Serious,Male,1980
31,Kenny Rogers and Kim Carnes,Don’t Fall In Love With A Dreamer,Mixed Group,1980
32,Christopher Cross,Sailing,Male,1980
33,Dan Fogelberg,Longer,Male,1980
34,Kenny Rogers,Coward Of The County,Male,1980
35,Kool and The Gang,Ladies Night,Male Group,1980
36,Kool and The Gang,Too Hot,Male Group,1980
37,S.O.S. Band,Take Your Time,Mixed Group,1980
38,Barbra Streisand and Donna Summer,No More Tears (Enough Is Enough),Female,1980
39,Kim Carnes,More Love,Female,1980
40,M,Pop Muzik,Male,1980
41,Pretenders,Brass In Pocket,Mixed Group,1980
42,"Ray, Goodman and Brown",Special Lady,Male Group,1980
